"Nombre_archivo_neris","Procedencia","Biosample","type","type2","Organization","PublicationDate","Isolation_source","Collection_date_ORG","Lat","Lon","City","Country","Continent","Bioproject","Collection_year","Collection_month","Collection_day"
"GCF_002246845.1",NA,"SAMN07450575","NCBI","BD","JCVI","2017/08/04","Human",2016-05-11,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,5,11
"GCF_002246875.1",NA,"SAMN07450577","NCBI","BD","JCVI","2017/08/04","Human",2016-12-05,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,12,5
"GCF_002246895.1",NA,"SAMN07450551","NCBI","BD","JCVI","2017/08/04","Human",2015-12-22,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2015,12,22
"GCF_002247365.1",NA,"SAMN07450584","NCBI","BD","JCVI","2017/08/04","Human",2016-02-17,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,2,17
"GCF_002247375.1",NA,"SAMN07450583","NCBI","BD","JCVI","2017/08/04","Human",2016-04-08,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,4,8
"GCF_002247385.1",NA,"SAMN07450574","NCBI","BD","JCVI","2017/08/04","Human",2016-05-27,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,5,27
"GCF_002247625.1",NA,"SAMN07450640","NCBI","BD","JCVI","2017/08/04","Animal",2015-03-08,"18.5744606","99.0087221"," Lamphun","Thailand","Asia","PRJNA389557",2015,3,8
"GCF_002247645.1",NA,"SAMN07450639","NCBI","BD","JCVI","2017/08/04","Animal",2015-03-08,"18.5744606","99.0087221"," Lamphun","Thailand","Asia","PRJNA389557",2015,3,8
"GCF_002247665.1",NA,"SAMN07450638","NCBI","BD","JCVI","2017/08/04","Animal",2015-03-08,"18.5744606","99.0087221"," Lamphun","Thailand","Asia","PRJNA389557",2015,3,8
"GCF_002247865.1",NA,"SAMN07450624","NCBI","BD","JCVI","2017/08/04","Human",2014-11-20,"18.5744606","99.0087221"," Lamphun","Thailand","Asia","PRJNA389557",2014,11,20
